Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.808,0.5864661654135338,0.19164619164619165,0.28888888888888886,0.7738231297553332
Decision Tree,0.793,0.49195402298850577,0.5257985257985258,0.5083135391923991,0.6935332867536258
Random Forest,0.862,0.7673469387755102,0.4619164619164619,0.5766871165644172,0.8509742408047493
Gradient Boosting,0.867,0.7831325301204819,0.47911547911547914,0.5945121951219512,0.8685935550342331
